Cohort,Product,Sub-Product,Key Label,Description,BusinessType,Key,Gross_BE,Gross_LossC_BE,Gross_RA,Gross_LossC_RA,Gross_CSM,Gross_Actual_BE,Gross_Actual_RA,Gross_Actual_CSM
2021,A001,ABC,Opening Balance,1-Opening,IF,MAP000,305487359.6, -   ,148363407.6, -   ,43805223, -   , -   , -   
2021,A001,ABC,Opening corrections,7-Additional premiums / premium corrections,IF,MAP001, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Actual Cash Inflows,Premium,NB,MAP002, -   , -   , -   , -   , -   , -   , -   ,283121927
2021,A001,ABC,Expected Cash Inflows,Premium,NB,MAP003, -   , -   , -   , -   , -   ,283121927, -   , -   
2021,A001,ABC,New Business,New business CSM,NB,MAP004,202461212.5, -   ,84358838.55, -   ,27775291.06, -   , -   , -   
2021,A001,ABC,New Business changes,NB Expense,NB,MAP005, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Model changes,model chnages,IF,MAP006, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Discount Rate Unwind,NB CSM accretion,NB,MAP007, -   , -   , -   , -   ,401539.71, -   , -   , -   
2021,A001,ABC,Discount Rate Unwind,IF CSM accretion,IF,MAP007, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Discount Rate Unwind,new business unwind,NB,MAP007,7302651.51, -   ,1035366.75, -   , -   , -   , -   , -   
2021,A001,ABC,Discount Rate Unwind,In force unwind of RDR,IF,MAP007,6638774.1, -   ,941242.5, -   , -   , -   , -   , -   
2021,A001,ABC,Experience Variance,,NB,MAP008,-2032060.8, -   ,-786872.68, -   ,-1705699.49, -   , -   , -   
2021,A001,ABC,Experience Variance,,IF,MAP008,-2100000, -   ,-2000000, -   ,2540122.75, -   , -   , -   
2021,A001,ABC,Changes in economic assumptions,4-Demographic assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Changes in economic assumptions,5-Expense assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-78036.42, -   ,-613.47, -   , -   , -   , -   , -   
2021,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-464501.73, -   ,-5838.25, -   , -   , -   , -   , -   
2021,A001,ABC,Changes in non-economic assumptions,10-Economic assumption change (impact of discount rate change),NB,MAP010,-5234198.97, -   ,-510737.37, -   , -   , -   , -   , -   
2021,A001,ABC,Changes in non-economic assumptions,,NB,MAP010, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Changes in Risk adjustment stress assumptions,8-Risk adjustment stress assumption change,NB,MAP011, -   , -   ,436200.16, -   ,-436200.16, -   , -   , -   
2021,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   ,-103841751
2021,A001,ABC,Expected Cash Outflows,NB Claims and Expenses,NB,MAP013,-21210222.26, -   ,-8435883.86, -   , -   ,-252815054,-4624745, -   
2021,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Expected Cash Outflows,IF Claims and Expenses,IF,MAP013,-73455315.2, -   ,-16068350.2, -   , -   , -   , -   , -   
2021,A001,ABC,CSM Release,,NB,MAP014, -   , -   , -   , -   ,-3334901.57, -   , -   , -   
2021,A001,ABC,Actual Acquisition Expenses,InsuranceAcquisitionExpenses,NB,MAP015, -   , -   , -   , -   , -   , -   , -   ,-2727342
2021,A001,ABC,Expected Acquisition Expenses,,NB,MAP016, -   , -   , -   , -   , -   ,-2727342, -   , -   
2021,A001,ABC,Adjustment to liability for incurred claims,17-Adjustment to liability for incurred claims,NB,MAP017, -   , -   , -   , -   , -   , -   , -   ,-7604996
2021,A001,ABC,Losses/reversal of losses on onerous contracts,12-Losses/reversal of losses on onerous contracts,NB,MAP018, -   , -   , -   , -   , -   , -   , -   , -   
2021,A001,ABC,Closing,Closing Balance,NB,MAP019,417315662.3, -   ,207326759.8, -   ,69045375.3, -   , -   , -   
2022,A001,ABC,Opening Balance,1-Opening,IF,MAP000,417315662.3, -   ,207326759.8, -   ,69045375.3, -   , -   , -   
2022,A001,ABC,Opening corrections,7-Additional premiums / premium corrections,IF,MAP001, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Actual Cash Inflows,Premium,NB,MAP002, -   , -   , -   , -   , -   , -   , -   ,283121927
2022,A001,ABC,Expected Cash Inflows,Premium,NB,MAP003, -   , -   , -   , -   , -   ,283121927, -   , -   
2022,A001,ABC,New Business,New business CSM,NB,MAP004,222707333.8, -   ,88576780.48, -   ,30552820.17, -   , -   , -   
2022,A001,ABC,New Business changes,NB Expense,NB,MAP005, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Model changes,model chnages,IF,MAP006, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Discount Rate Unwind,NB CSM accretion,NB,MAP007, -   , -   , -   , -   ,441693.68, -   , -   , -   
2022,A001,ABC,Discount Rate Unwind,IF CSM accretion,IF,MAP007, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Discount Rate Unwind,new business unwind,NB,MAP007,8032916.66, -   ,1138903.43, -   , -   , -   , -   , -   
2022,A001,ABC,Discount Rate Unwind,In force unwind of RDR,IF,MAP007,7302651.51, -   ,1035366.75, -   , -   , -   , -   , -   
2022,A001,ABC,Experience Variance,In force unwind of RDR,NB,MAP008,-2235266.88, -   ,-865559.95, -   ,-1876269.44, -   , -   , -   
2022,A001,ABC,Experience Variance,In force unwind of RDR,IF,MAP008,-2310000, -   ,-2000000, -   ,2794135.03, -   , -   , -   
2022,A001,ABC,Changes in economic assumptions,4-Demographic assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Changes in economic assumptions,5-Expense assumption changes,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Changes in economic assumptions,,NB,MAP009, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-85840.06, -   ,-674.82, -   , -   , -   , -   , -   
2022,A001,ABC,Changes in non-economic assumptions,11-Inflation impact on future cashflows,NB,MAP010,-510951.9, -   ,-6422.08, -   , -   , -   , -   , -   
2022,A001,ABC,Changes in non-economic assumptions,10-Economic assumption change (impact of discount rate change),NB,MAP010,-5757618.87, -   ,-561811.11, -   , -   , -   , -   , -   
2022,A001,ABC,Changes in non-economic assumptions,,NB,MAP010, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Changes in Risk adjustment stress assumptions,8-Risk adjustment stress assumption change,NB,MAP011, -   , -   ,479820.18, -   ,-479820.18, -   , -   , -   
2022,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   ,-103841751
2022,A001,ABC,Expected Cash Outflows,NB Claims and Expenses,NB,MAP013,-23331244.49, -   ,-8857678.05, -   , -   ,-252815054,-4624745, -   
2022,A001,ABC,Actual Cash Outflows,,NB,MAP012, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Expected Cash Outflows,IF Claims and Expenses,IF,MAP013,-220365945.6, -   ,-16871767.71, -   , -   , -   , -   , -   
2022,A001,ABC,CSM Release,,NB,MAP014, -   , -   , -   , -   ,-3668391.73, -   , -   , -   
2022,A001,ABC,Actual Acquisition Expenses,InsuranceAcquisitionExpenses,NB,MAP015, -   , -   , -   , -   , -   , -   , -   ,-2727342
2022,A001,ABC,Expected Acquisition Expenses,,NB,MAP016, -   , -   , -   , -   , -   ,-2727342, -   , -   
2022,A001,ABC,Adjustment to liability for incurred claims,17-Adjustment to liability for incurred claims,NB,MAP017, -   , -   , -   , -   , -   , -   , -   ,-7604996
2022,A001,ABC,Losses/reversal of losses on onerous contracts,12-Losses/reversal of losses on onerous contracts,NB,MAP018, -   , -   , -   , -   , -   , -   , -   , -   
2022,A001,ABC,Closing,Closing Balance,NB,MAP019,400761696.5, -   ,269393716.9, -   ,96809542.83, -   , -   , -   
